Symbol,Sector,Industry,,,
PCFT.l,Miscellaneous,Investment trusts/Mutual funds,,,
PCGH.l,Miscellaneous,Investment trusts/Mutual funds,,,
PCIP.l,Finance,Regional banks,,,
PCTN.l,Finance,Real estate investment trusts,,,
PDL.l,Non-energy minerals,Other metals/Minerals,,,
PEBB.l,Commercial services,Advertising/Marketing services,,,
PEEL.l,Finance,Regional banks,,,
PGH.l,Finance,Insurance brokers/Services,,,
PHE.l,Utilities,Electric utilities,,,
PHLL.l,Finance,Financial conglomerates,,,
PHNX.l,Finance,Life/Health insurance,,,
PHP.l,Finance,Real estate investment trusts,,,
PHSC.l,Commercial services,Miscellaneous commercial services,,,
PIER.l,Consumer services,Movies/Entertainment,,,
PIP.l,Electronic technology,Electronic equipment/Instruments,,,
PMG.l,Energy minerals,Oil & gas production,,,
PMI.l,Finance,Investment managers,,,
PMP.l,Consumer durables,Home furnishings,,,
PNL.l,Miscellaneous,Investment trusts/Mutual funds,,,
PNN.l,Utilities,Water utilities,,,
POLB.l,Health technology,Pharmaceuticals: major,,,
POLN.l,Finance,Investment managers,,,
POLR.l,Finance,Investment managers,,,
POLX.l,Health technology,Medical specialties,,,
